document_name,page_number,detection_type
F1964107.json,5,Deux Colonnes
F1965004.json,3,Deux Colonnes
F1965005.json,12,Deux Colonnes soft
F1965005.json,13,Deux Colonnes soft
F1965006.json,5,Deux Colonnes
F1965007.json,1,Deux Colonnes
F1965008.json,1,Deux Colonnes
F1965008.json,6,Deux Colonnes soft
F1965009.json,6,Deux Colonnes
F1965011.json,3,Deux Colonnes
F1965012.json,2,Deux Colonnes
F1965012.json,3,Deux Colonnes
F1965012.json,5,Deux Colonnes
F1965013.json,2,Deux Colonnes
F1965013.json,6,Deux Colonnes
F1965014.json,3,Deux Colonnes
F1965014.json,4,Deux Colonnes
F1965014.json,5,Deux Colonnes
F1965014.json,6,Deux Colonnes
F1965014.json,8,Deux Colonnes
F1965014.json,9,Deux Colonnes
F1965014.json,10,Deux Colonnes
F1965014.json,11,Deux Colonnes soft
F1965014.json,13,Deux Colonnes
F1965014.json,14,Deux Colonnes
F1965015.json,6,Deux Colonnes
F1965016.json,1,Deux Colonnes
F1965017.json,8,Deux Colonnes
F1965018.json,7,Deux Colonnes
F1965020.json,7,Deux Colonnes soft
F1965023.json,5,Deux Colonnes
F1965024.json,2,Deux Colonnes
F1965027.json,4,Deux Colonnes
F1965027.json,6,Deux Colonnes soft
F1965030.json,2,Deux Colonnes
F1965031.json,1,Deux Colonnes
F1965032.json,36,Deux Colonnes soft
F1965032.json,37,Deux Colonnes soft
F1965032.json,38,Deux Colonnes soft
F1965032.json,39,Deux Colonnes soft
F1965032.json,40,Deux Colonnes soft
F1965032.json,46,Deux Colonnes soft
F1965033.json,9,Deux Colonnes soft
F1965033.json,10,Deux Colonnes soft
F1965033.json,12,Deux Colonnes soft
F1965033.json,62,Deux Colonnes
F1965035.json,3,Deux Colonnes
F1965035.json,4,Deux Colonnes
F1965036.json,1,Deux Colonnes
F1965036.json,3,Deux Colonnes soft
F1965036.json,6,Deux Colonnes soft
F1965036.json,7,Deux Colonnes soft
F1965036.json,9,Deux Colonnes soft
F1965036.json,12,Deux Colonnes soft
F1965036.json,14,Deux Colonnes soft
F1965036.json,22,Deux Colonnes soft
F1965036.json,27,Deux Colonnes soft
F1965036.json,34,Deux Colonnes
F1965036.json,35,Deux Colonnes
F1965038.json,1,Deux Colonnes
F1965038.json,3,Deux Colonnes
F1965040.json,2,Deux Colonnes
F1965040.json,3,Deux Colonnes
F1965040.json,4,Deux Colonnes
F1965041.json,2,Deux Colonnes
F1965044.json,1,Deux Colonnes
F1965045.json,5,Deux Colonnes
F1965046.json,5,Deux Colonnes
F1965048.json,4,Deux Colonnes
F1965048.json,7,Deux Colonnes
F1965048.json,13,Ligne Horizontale (3+ layouts)
F1965048.json,14,Ligne Horizontale (3+ layouts)
F1965052.json,1,Deux Colonnes
F1965052.json,3,Deux Colonnes
F1965053.json,3,Deux Colonnes
F1965054.json,3,Deux Colonnes
F1965056.json,7,Deux Colonnes
F1965056.json,13,Deux Colonnes
F1965057.json,1,Deux Colonnes
F1965058.json,2,Deux Colonnes soft
F1965058.json,7,Deux Colonnes
F1965059.json,6,Deux Colonnes
F1965060.json,1,Ligne Horizontale (3+ layouts)
F1965061.json,7,Ligne Horizontale (3+ layouts)
F1965061.json,8,Deux Colonnes
F1965063.json,4,Deux Colonnes
F1965064.json,5,Deux Colonnes
F1965065.json,2,Deux Colonnes
F1965065.json,7,Deux Colonnes
F1965066.json,5,Deux Colonnes
F1965069.json,5,Deux Colonnes
F1965071.json,7,Ligne Horizontale (3+ layouts)
F1965071.json,10,Deux Colonnes
F1965073.json,5,Ligne Horizontale (3+ layouts)
F1965073.json,11,Deux Colonnes
F1965074.json,1,Deux Colonnes
F1965074.json,3,Deux Colonnes
F1965075.json,7,Deux Colonnes
F1965077.json,2,Deux Colonnes
F1965078.json,3,Deux Colonnes
F1965081.json,2,Deux Colonnes
F1965083.json,7,Deux Colonnes
F1965085.json,1,Deux Colonnes
F1965089.json,2,Deux Colonnes
F1965091.json,1,Deux Colonnes
F1965092.json,5,Deux Colonnes
F1965093.json,3,Deux Colonnes
F1965093.json,4,Deux Colonnes
F1965093.json,5,Deux Colonnes
F1965094.json,2,Deux Colonnes
F1965094.json,4,Deux Colonnes
F1965094.json,6,Deux Colonnes
F1965094.json,7,Deux Colonnes
F1965094.json,8,Deux Colonnes
F1965096.json,8,Deux Colonnes soft
F1965098.json,1,Deux Colonnes
F1965098.json,20,Deux Colonnes
F1965098.json,31,Deux Colonnes
F1965098.json,33,Deux Colonnes
F1965099.json,2,Deux Colonnes
F1965100.json,5,Layouts Imbriqués
F1965100.json,21,Layouts Imbriqués
F1965100.json,23,Ligne Horizontale (3+ layouts)
F1965100.json,25,Ligne Horizontale (3+ layouts)
F1965100.json,35,Ligne Horizontale (3+ layouts)
F1965100.json,36,Ligne Horizontale (3+ layouts)
F1965100.json,37,Layouts Imbriqués
F1965100.json,50,Layouts Imbriqués
F1965100.json,60,Layouts Imbriqués
F1965100.json,61,Ligne Horizontale (3+ layouts)
F1965100.json,63,Deux Colonnes soft
F1965100.json,65,Deux Colonnes soft
F1965100.json,66,Deux Colonnes soft
F1965100.json,67,Ligne Horizontale (3+ layouts)
F1965100.json,68,Ligne Horizontale (3+ layouts)
F1965100.json,69,Ligne Horizontale (3+ layouts)
F1965100.json,70,Ligne Horizontale (3+ layouts)
F1965100.json,71,Ligne Horizontale (3+ layouts)
F1965100.json,72,Ligne Horizontale (3+ layouts)
F1965100.json,73,Ligne Horizontale (3+ layouts)
F1965100.json,74,Ligne Horizontale (3+ layouts)
F1965100.json,75,Deux Colonnes soft
F1965100.json,76,Ligne Horizontale (3+ layouts)
F1965100.json,78,Deux Colonnes
